Code;Libellé;Médiane du niveau de vie 2021;Taux d'activité par tranche d'âge 2021;Part des actifs occupés de 15 ans ou plus  les transports en commun 2021;Population municipale 2021;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2021;École maternelle, primaire, élémentaire (en nombre) 2023;Médecin généraliste (en nombre) 2023
81145;Lisle-sur-Tarn;22120;79;9;4775;12.7;3;6
81146;Livers-Cazelles;20180;78;2.7;238;6.2;0;0
81147;Lombers;21980;78.8;1.3;1106;7;1;0
81148;Loubers;0;77.4;6.4;88;7.6;0;0
81149;Loupiac;24060;79.9;7.2;439;8.7;1;0
81150;Lugan;28100;80.3;6.6;420;23.5;1;0
81151;Magrin;21700;85.2;6.9;131;6.4;0;0
81152;Mailhoc;23060;83.2;0;315;8.8;0;0
81154;Marnaves;0;70.7;3.3;80;3.3;0;0
81156;Marssac-sur-Tarn;24090;78;1.8;3449;6.1;1;6
81157;Marzens;26340;75.7;3.3;312;12.1;0;0
81158;Le Masnau-Massuguiès;16780;67.5;2.4;256;1.9;1;0
81159;Massac-Séran;25530;79.4;2.8;462;14.8;2;0
81160;Massaguel;20890;77;2.5;351;2.8;1;0
81161;Massals;19730;77.3;0;113;8.4;1;0
81162;Maurens-Scopont;25240;78.3;0;144;15.5;0;0
81163;Mazamet;19140;71.2;2.5;10064;4.9;7;12
81164;Mézens;25560;82.8;9.7;524;18.2;1;0
81165;Milhars;19270;73.7;7.7;237;6.4;1;0
81166;Milhavet;0;81.4;0;97;3.9;0;0
81167;Miolles;0;73.8;0;106;5.3;0;0
81168;Mirandol-Bourgnounac;20780;65.1;2.1;1038;4.4;1;1
81169;Missècle;0;68.3;0;99;2.5;0;0
81170;Monestiés;21810;73;1.7;1376;6.6;1;0
81171;Montans;23840;79.2;2.5;1544;8.3;1;0
81172;Montauriol;0;82.6;0;62;0;0;0
81173;Montcabrier;26750;86.5;1.3;326;15.2;1;0
81174;Montdragon;21780;77;2.9;616;5.7;1;0
81175;Montdurausse;20280;80.2;0;410;4.2;0;0
81176;Montels;0;81;4.2;105;5.6;0;0
81177;Montfa;23330;83.6;0.9;476;6;1;0
81178;Montgaillard;22450;80.6;0;360;8.7;1;1
